content,score,appVersion,topic_label
Too many ads while using this app and after some scrolling some songs we hadn't any choice to choose a particular song and it's part. this worst what about that people whose not able or didn't want to buy premium.,1,,Ads and Premium Upsell
Yo imagine making us buy premium for basic things.... I'm not buying some premium for js choosing a song...,1,9.1.52.1394,Ads and Premium Upsell
Why the premium thingy what about kids or teens like us we are not even adults and emotions are everything to us and music is the best way to express them,1,9.0.84.1340,Ads and Premium Upsell
worst day by day what do mean i cannot play my choice of song on a music app without having a subscription?,1,9.1.34.2060,Ads and Premium Upsell
it used to be a good app and still is but latelt there has been alot pf ads like 2 ads after just playing 2 songs im considering deleting it,2,9.1.30.1993,Ads and Premium Upsell
"Locking the ability to choose a song is genuinely idiotic, among other things. Does it entice me to get premium? No. It does make me want to delete your app though 😂",1,,Ads and Premium Upsell
Why pay for premium if I can't escape commercials? Every single podcast includes 1000 of them. Super annoying.,2,9.1.34.2060,Ads on Premium and Podcasts
"ads with premium?!!! I have a premium subscription, yet for some strange reason I started getting ads?!! why??? no ads on songs but with podcasts. some ads are within the podcast itself, so ok. but yesterday I had ads before the podcast..Spotify ads not related to the podcast. what is going on??",1,9.1.56.574,Ads on Premium and Podcasts
"Podcast and music mix great. but ADs on premium! I have been a valiant multi-year premium customer on Spotify because it can suggest me new good music. I am absolutely appalled there is no tier for being ad-free on podcasts, and quite annoyed they're inserted into my experience since the new update. Ew. If this remains as intrusive as it is, I'm not seeing enough value in this service.",3,9.1.40.1486,Ads on Premium and Podcasts
"I don't like paying for a streaming service and still have to listen to adds, even if it is only on podcasts",1,9.1.56.574,Ads on Premium and Podcasts
"The price of premium has only gone up and the service has not improved to match it. And Spotify, please explain why I'm getting ads while listening to podcasts despite having premium",1,9.1.32.2083,Ads on Premium and Podcasts
It would be nice if all family members on a premium account get access to the audio books. Also what kind of premium account has ads on podcasts. The Joe Budden podcast is the only pod I've noticed that does not kill the listing experience with embedded ads. Do better Spotify.,3,9.1.24.1739,Ads on Premium and Podcasts
"The last month, Spotify plays an add almost every 5 minutes now during podcast. I am seriously about ready to get rid of it God willing. I can pay nothing on YouTube and get 1 ad during the whole podcast.",1,9.1.24.1739,Ads on Premium and Podcasts
overall decent but I pay for premium and you jerks are still making me listen to ads outside of the ones podcasters already do!!! why?! 17 dollars a month and you still gotta be extra,3,9.1.52.1394,Ads on Premium and Podcasts
"I use this app under protest. Too bad there's no antitrust protection against their monopoly. The app never plays the right songs, quickly shuffles to AI generated pop, jams ads everywhere, won't let you sort the order of podcasts and just generally is unintuitive and obtuse. 1000 hrs used at time of review.",1,9.1.34.2060,Ads on Premium and Podcasts
Premium sub didn't reduce the number of ads injected into my podcasts. Can't customize the number of seconds of skip forward and back. Live transcription would be neat but it's whole minutes out of sync.,2,9.1.50.1906,Ads on Premium and Podcasts
I can't understand why I have ads on podcasts when I'm premium ???,1,9.1.58.1567,Ads on Premium and Podcasts
"Yeah.. No. Not paying to listen to the radio. Streaming is a rip off. However, Thank you for letting me know which companies never to do business with. If they have THAT much money for THAT much airtime: I don't trust them to give me a fair value.",1,9.1.24.1739,Ads on Premium and Podcasts
"(Paying listener since 2023) ""Ad-ify Premium"" The ads have become so intrusive and hyper local (edited settings multiple times) that I've been switching to Patreon for my favorite podcasts. Spotify *Premium* podcasts have equivalent advertisement frequency to *Free* YouTube videos, and easily triple the interruptions (ads or bugs) of my friends with Apple Music. I'm waiting for the ""Super Premium"" service to roll out so we can pay 30$/month for audio with 10 mins of ads per half hour.",2,8.7.70.553,Ads on Premium and Podcasts
"im getting 10-20 promos for the same promo from podcast I follow on the same network.. it's getting really annoying, having to clear these on a weekly basis. it would be nice to be able to opt out of these, especially if i'm gonna get so many repeated. you're raising prices again.. can you not see this is happening? also the super loud ads are back.. lately i haven't been able to fall asleep to pods, because the ads are so loud they will wake me up. not cool for $14 CAD a month.",2,9.1.52.1394,Ads on Premium and Podcasts
"Every time I try to listen to a podcast and set a timer, before the ad it pauses the podcast and turns off the timer. Every single ad. I have premium and know some podcasts have ads on their own but this is a Spotify podcast. More annoyed that there is no one you can contact for support. it's only community forums and even that wont work properly.",3,9.1.50.1903,Ads on Premium and Podcasts
"over the last few years this service has become worse and worse. every few months they raise the price, and find ways to insert adds back into the app EVEN THOUGH I'M PAYING FOR NO ADDS. I can't listen to any of my podcasts anymore without first getting bombarded by a list of auto populated adds that don't even support the artists. wanna skip the adds? too bad, if you try to it'll just throw you into 3 more, each and every time, until you listen to all of them. cant wait to never pay 20$ again",1,9.1.44.2120,Ads on Premium and Podcasts
"Been happily using Spotify Premium for many good years. I recently have had to contend with advertisements and banners popping up, which is fine with any other software or app, but when you specifically pay JUST to NOT have adverts it can be quite frustrating. Edit: The advertisements are inbetween podcasts and are independent of the host's own advertising, it shows up as ""Advertisement 1 of 1"" right after a podcast and is not part of that podcast. I have confirmed my plan is a paid plan.",3,9.1.56.574,Ads on Premium and Podcasts
"too many ads for podcasts, even if you have premium. other podcasts apps don't spam as many ads, now requires a set location unless on premium. if I am travelling I should not be forced to change my location settings to use the app.",1,9.1.42.2058,Ads on Premium and Podcasts
"I use Spotify on the daily but I have been unimpressed with a few things like the spike in prices and that fact prices are advertised as one thing but are actually another thing, oh and on top of that there are occasionally Ads that are not part of the podcast, why are there ads in something that I pay to not have them (occasionally keeps crashing on my phone)",2,9.1.44.2120,Ads on Premium and Podcasts
"Gone downhill with all the podcast/video/ad integration even on premium. Feels like opening up a social media app now. Slow, buggy, and constantly reverts back to video even if you had it on audio. Just put the song/podcast in the playlist all this other bloat is annoying.",1,9.1.42.2058,Ads on Premium and Podcasts
"The song I play are fine, until you get to the ends and then it sounds like a busy mall where the people forgot to cut off the mic, apollyon chase them is 4:20 but has 2 minutes at the end of straight up feedback and the shopping center noises, abysmal layout if they are episodes, however it doesn't do it if you use the original artist, but there are too many fakes to find the real one",2,9.1.62.1601,App Crashes and Bugs
Sometimes my music will stop playing by itself and I have to go back into the app and press play again. It also starts the song over from the beginning instead of holding my place.,3,9.1.36.1948,App Crashes and Bugs
if i click any playsit its showing there is nothing in the playlist and deleted 10t and re downloaded but also same thing and frustrated with your app,3,9.1.44.2120,App Crashes and Bugs
it's disgusting how laggy and how slow is performing lately it takes almost 1 minute to load every single time I open the app I think I'm gonna have to move to apple music,1,,App Crashes and Bugs
it is a good music app but my app has been crashing ever since the new update pls do something about it,4,9.1.40.1486,App Crashes and Bugs
"App used to crash,freeze,take forever to load,say I am offline even when I am connected to the WiFi, sometimes play the next song 8 seconds after I pressed the button to skip a song.Developer helped me with this so it has gotten back to optimum performance.",4,9.1.42.2058,App Crashes and Bugs
bro I can't even listen to music now!! they have to fix this bug and the app keeps kicking me out like bro I downloaded it and updated it what does it even want,1,9.1.36.1948,App Crashes and Bugs
That's the only app that is slow on my phone. It's just managing lists of songs some more 🫠 👏,1,,App Crashes and Bugs
can't play any music at all for the last 2weeks,1,9.1.52.1394,App Crashes and Bugs
"I just downloaded the app and it said ""something went wrong"" and I can't bypass it",1,9.1.52.1394,App Crashes and Bugs
"not working after this last update, I'll just watch youtube.",1,8.6.60.1126,App Crashes and Bugs
"most messed up app to ever exsist, it doesn't even make u change your music after a while, change to SoundCloud",1,9.1.22.1630,App Crashes and Bugs
"every time I am trying to open the App there's a message ""something went wrong, have another go?"", my app is up to date, please suggest the solution. It's getting extremely terrible, I am planning to uninstall it for this same reason only.",1,9.1.48.1656,App Crashes and Bugs
After shouting the app down and going back on it after after a couple of hours I am just getting a black screen,3,9.1.42.2058,App Crashes and Bugs
"I've gone from restarting the app, to uninstalling, restarting my phone (it's now my 4th attempt before writing this). Nothing is working... The app just won't load in. For it to load in I am required to uninstall the app and login my details over and over again. Edit:I don't know how but the issue has been resolved. It works fine now.",4,9.1.52.1394,App Crashes and Bugs
"I keep having to uninstall the app and reinstall it, otherwise opening the app just results in a black screen, even when restarting the multiple times and clearing the cache and storage",2,9.1.44.2120,App Crashes and Bugs
umm your app is not working....like installed and uninstalled it multiple times in an hour and it's straight up not working.....do something!!,1,,App Crashes and Bugs
worst experience it takes 200 rs a month and soo many glitches and now the app is not working from morning,1,9.1.44.2120,App Crashes and Bugs
"my app is completely not working at all I've cleared cache, storage, uninstalled and reinstalled and still not working.",1,9.1.22.1630,App Crashes and Bugs
"good app but recently on my phone if I try to play my playlist to a different device from my phone it skips lots of songs and goes to a song that is much further from the starting one, or it just outright doesn't let me play some songs on devices. It's nothing to do with the devices themselves because it has happened when I connected my phone to my Xbox and a Bluetooth speaker, so if this issue could be sorted that would be good, also a way to actually FLAG issues on the app.",5,9.1.34.2060,App Crashes and Bugs
If I try to open another app it insta closes itself,2,9.1.30.1993,App Force Closing in Background
the app is close in background automatically after 10-15 minuu,1,9.1.52.1394,App Force Closing in Background
Terrible app! Closes all the time for no reason. Awful integration into android auto. Interface is good enough but a lot of actions are hidden or do not make sense.,1,9.1.42.2058,App Force Closing in Background
Now the app constantly crashes when it's running in the background.,1,9.1.52.1394,App Force Closing in Background
there was a bug and it kept closing on me,1,9.1.58.1567,App Force Closing in Background
currently there is a glitch it takes a lot of time to open the app and suddenly stops working in background,1,,App Force Closing in Background
"It should not be running in the background without permission & permissions should be easily accessable, i still havent found how to stop the background running",3,9.1.24.1739,App Force Closing in Background
the app keeps stopping when I go into another app,3,9.1.36.1948,App Force Closing in Background
it keeps consistently force closing itself recently and it's driving me mental. if it keeps it up I'm canceling my sub.,1,9.1.58.1567,App Force Closing in Background
the app keeps force closing on me whenever i open it. it's been doing this for the past few weeks and it isn't stopping.,1,,App Force Closing in Background
It keeps closing I have updated it but any time I leave the app it close,4,9.1.58.1567,App Force Closing in Background
parasite of an app cant be closed normally. have to force close it. even if i restrict its battery and data. It still starts itself when you connect to BT. Doesnt show up as an active or background app.,2,9.1.52.1394,App Force Closing in Background
"the app keeps shutting off this week for no reason, cache has been cleared and the problem is still there!",1,,App Force Closing in Background
Currently having issues with the app not loading or the app closing randomly,2,9.1.58.1567,App Force Closing in Background
after paying this app is closing itself again and again and this makes me so much frustrated,1,9.1.58.1567,App Force Closing in Background
closes often when opening other apps. its super annoying. yes I've tried uninstalling and reinstalling. yes I've tried deleting cache and data,2,9.1.44.2120,App Force Closing in Background
"app keeps force closing or it won't open at all. did not have this problem until I got the premium. feels like a setup, I do not like this",1,9.1.60.1970,App Force Closing in Background
"Ever since I reinstalled it, it closes itself and I literally can't do anything. Please fix this. I've tried everything.",2,9.1.60.1970,App Force Closing in Background
The app keeps stopping when I open other apps. Annoying asf. Fix please!,2,9.1.34.2060,App Force Closing in Background
"For the price I'm paying for this app, the amount of times I have to close and reopen it is unacceptable.",1,9.1.58.1550,App Force Closing in Background
"App got worse in recent couple of years A lot of bugs, and new useless features",1,9.1.50.1906,App Getting Worse with Updates
You have ruined the good app by updating again & again with your useless changes,1,9.1.34.2060,App Getting Worse with Updates
I am only getting jhope's fragments rather than getting any one elses ?? does it only happening with me ?? It seems like my app has stick to jhope?? why?? Only One and same fragment I am getting continuously?? why 🙀 I want everyone's fragments not one and only similar!??!! does this is only happening with me??,1,,App Getting Worse with Updates
Honestly this app is at a point where it is getting worse. I've had it since 2016 and recently it has been declining in quality. My most recent gripe is that the new widget I was forced to switch too doesn't work on my phone.,3,9.1.52.1394,App Getting Worse with Updates
I have never seen an app that updates so frequently as this one. it ends up being ridiculous.,3,9.1.36.1948,App Getting Worse with Updates
slow and buggy not use this app waste of time,1,,App Getting Worse with Updates
insanely buggy and slow I am considering switching to a better app in the near future,1,9.1.52.1394,App Getting Worse with Updates
Bloat ware that gets worse with every update. Abysmal service.,1,9.1.28.2252,App Getting Worse with Updates
"What's the hell is wrong with the latest update,the app is freezing or takes eternity to load, fix the problem asap otherwise many people including me are canceling their subscriptions, it's really annoying.",5,9.1.60.1970,App Getting Worse with Updates
Been using this app for around 4 years now and I'm telling you it's getting worse year by year. It's getting slower messing up the shuffles.. and a total ragebait at this point. Left a one star on 2023 and leaving one star again in 2026 keep u guys.,1,,App Getting Worse with Updates
WHY WHY WHY do apps update then make things substantially worse like damn nothing was wrong with it why do apps have to change everything every 6 months,1,,App Getting Worse with Updates
"App gets worse with each update, made slower by increasing the amount of ai slop shoveled down your throat and now the app crashes constantly after the new update. And you just know the price is going up again... 👎",2,9.1.58.1567,App Getting Worse with Updates
this app becomes less and less optimized by the week. barely anything works any more and it feels by design. been using it for a decade and I've watched it steeply decline more and more.,1,9.1.0.1147,App Getting Worse with Updates
Too bloated and slow. Even a menu option takes forever to show. Too many features have ruined this app.,3,9.1.60.1970,App Getting Worse with Updates
Disappointing. The performance of this app has decreased tremendously over the past few months,1,9.1.44.2120,App Getting Worse with Updates
"what's wrong with the latest updates? the app is freezing and taking eternity to load, fix the problem asap otherwise, many people including me are canceling their subscription, it's really annoying.",1,,App Getting Worse with Updates
every time you guys do an update the app gets worse!! the app freezes too much for the price! keeps acting like there's no internet when I have full high speed home wifi. I want to use the services I pay for!,1,9.1.42.2058,App Getting Worse with Updates
"too many update, work - not work, need update everyday",2,9.1.50.1906,App Getting Worse with Updates
"why bother doing updates when you don't fix the issues? congratulations your app is now truly trash. even when you check oldest unfinished it STILL goes back to some random finished episode when listening to podcasts today my 18 minute drive had 13 minutes of ads , don't tell me to reach out to customer service. their suggestions are useless too",1,9.1.34.2060,App Getting Worse with Updates
"every update makes the app slower and removes features or ""simplify"" features that are already working perfectly fine. Even the desktop app and web player barely works anymore",1,9.1.44.2120,App Getting Worse with Updates
"App is extremely laggy, if it even works at all. It wasn't doing this a week ago. It's not my phone, my other apps still work.",2,9.0.28.630,App Slowness and Lag
"Very laggy. No other app lags this much, at least re-release the lite version or something!",1,,App Slowness and Lag
"The app itself has slowed down extremely. basic function still exists and background operation is still sufficient. takes minutes to navigate between screens, even when not connected to devices. i have cleared cache and app data but problem still exists. this is inclusive across streaming and saved content",3,9.1.50.1906,App Slowness and Lag
It's too laggy. It's not what it used to be it was quick and fast. Too slow.,1,9.1.34.2060,App Slowness and Lag
Extremely slow and incompetent app. The loading times are crazy and you need the fastest Internet connection possible just to get decent download speeds. I do not recommend,1,9.1.58.1567,App Slowness and Lag
The app is so slow now. whenever I open it I have to wait several minutes for the app to connect to the internet no matter if im using cellular data or wifi,1,9.1.42.2058,App Slowness and Lag
lags is slow and sometimes you have to reinstall because it doesnt work,1,9.1.44.2120,App Slowness and Lag
its super laggy and choppy even after clearing stuff uninstlalling re installing,1,9.1.36.1948,App Slowness and Lag
"App has become slower and slower recently. Not sure what's going on, but it's becoming almost unusable. I pay for my Spotify, and I have a phone that isn't that old (Samsung Galaxy S23). But about to jump ship if you guys can't figure out how to optimize this app for performance.",2,9.1.52.1394,App Slowness and Lag
"Lags forever when opening or doesn't open. Freezes or just sits on black screen. As suggested, I deleted and then downloaded again. Worked fine since then until today and now it only opens a black screen and stays black... So now it's worse than before. Worked for a week or so though...",1,9.1.60.1970,App Slowness and Lag
worst possible scenario for each probable need that can occur while using it,1,9.1.52.1388,App Slowness and Lag
Persistent excessive cache build up is disrupting how I can use my mobile device. Really arrogant. Give me a slider setting to set max cache size.,1,9.1.56.574,App Slowness and Lag
"it's not slow on only pc anymore. it's slow on mobile now too. yes, I in fact use multiple devices, issue is with all of them. look into it, pls.",1,9.1.36.1948,App Slowness and Lag
"update... the issue was never solved. i even changed the phone and it continued being slow. i cancelled my suscription a couple months ago. This app has been really slow!! I tried the suggestion of uninstall and reinstall so many times already...It only improves a couple days... To load the app, a podcast or a song can take up to 3-4 minutes. (With Wifi on) Thinking to cancel my subscription...",1,9.1.34.2060,App Slowness and Lag
downloading of this app is very slow in low devices when Wi-Fi is also fast,1,9.0.16.572,App Slowness and Lag
slow and fails to load often. not sure what I am paying for. headaches?,1,9.0.90.1229,App Slowness and Lag
why has it become so so slow??? just opening the app nowadays takes more than a minute,2,9.1.42.2058,App Slowness and Lag
"turns itself off for no reason ,slow and lagging why am I paying for this shoddy app",2,8.7.42.943,App Slowness and Lag
super slow to load. constantly crashes. waste of money. starting to highly consider paying for something else.,1,9.1.44.2120,App Slowness and Lag
the optimization on chrombook is really bad i cannot even scroll without it lagging like crazy even on a chromebook plus please do something about it,1,9.1.34.2060,App Slowness and Lag
app isn't working at all won't load says I have zero internet connection tried to uninstall and its still not working,1,9.1.52.1394,App Won't Load or Connect
it's not opening. everytime it says check ur network. network problem.,1,,App Won't Load or Connect
"worked fine for years, now wont connect to the internet at all making it entirely unusable, cant even get to the home page",1,9.1.52.1394,App Won't Load or Connect
cant open the app when i dont have internet connection.,1,,App Won't Load or Connect
im facing the worst problem ever . I've internet in my phone but the app is showing there's no internet connection. please fix this problem asap,1,,App Won't Load or Connect
"always shows no connection, though I have good internet connection",1,,App Won't Load or Connect
It's not working properly even though the internet is open. It keeps telling me to try again. Please fix this problem.,3,9.1.44.2120,App Won't Load or Connect
and why is the app not opening without Internet connection anymore,3,9.1.16.1450,App Won't Load or Connect
when i open the app it says no connection eventhough my network is working.,2,,App Won't Load or Connect
"Always with the same bug, I'm connected and don't load anything",1,9.1.44.2120,App Won't Load or Connect
suddenly this app won't start and kept asking me to check my connection while the connection's fine. tried to uninstall and reinstall it but nothing's changed. i can't use this app at all.,5,9.1.44.2120,App Won't Load or Connect
Just downloaded after uninstalling app and can't find a connection. Checked my system and WiFi has service.,1,9.1.60.1970,App Won't Load or Connect
not working Full internet access still showing check your network,1,,App Won't Load or Connect
app doesn't work says check connection and try again no matter what I do app is shite.,1,9.1.56.574,App Won't Load or Connect
the app just won't open it keeps saying connect to Internet and I'm on the Internet so what do I really need to connect to,1,9.1.58.1567,App Won't Load or Connect
app not working. it says no internet connection. although all other apps are working,1,9.1.44.2120,App Won't Load or Connect
it is showing Check ur internet but my internet is alright still it is not opening,1,,App Won't Load or Connect
I tried it but it says to check my internet connection despite being connected and everything else working,1,9.1.56.574,App Won't Load or Connect
"it's literally broken, i have my wifi on AND guess what? It's not working! but with my data on it is working, LIKE WHAT",1,9.1.24.1739,App Won't Load or Connect
this app I have used for years and I downloaded it onto my new phone and now it keeps telling me to check my connection even though I've got 5g data on and wifi I'm getting mad,1,9.1.36.1948,App Won't Load or Connect
I would love to see how many reading hours I have left since you guys decided to only give us premium users 15.,1,9.1.44.2120,Audiobook Issues
"I guess this app is ok, but you litry you have to pay 19 dollars to listen to an audio book, and honestly, it's just really expensive left to buy premium for listening to music off of Wi-Fi like honestly. kind of expensive, but I say it's a pretty good app like you get an ad every 2 songs, though..",2,9.1.50.1906,Audiobook Issues
"Disappointed. I've used this app for years and pay a good bit of money for a family account for my family of four. And yet if, instead of music, i want to listen to a book, I'm limited to a number of listening hours and extorted for even more money if I want to finish said book.",4,9.1.24.1739,Audiobook Issues
price was raised not to long ago and you only get 15 hours a month of audiobook listening time then have to pay a subscription price for ten more hours some books are 32 hours long that means I would have to spend $24 on top of my monthly to listen to one book or wait until my time renews and take just over two months to listen to the same book,2,,Audiobook Issues
"I'm giving it this rating not because of the quality of the music on there but because of the price, the price just keeps going up and up. for the price we are paying the audio books that are available on here should be good for the whole month not clock out after a few hours. so for that and the price that continues to climb at a rapid rate I'm giving it two stars",2,9.1.32.2083,Audiobook Issues
Audio Books + is the most abysmal service ever - I have spent hours on line trying to provide access to my family plan member without success - would give zero stars,1,9.1.32.2083,Audiobook Issues
"The concept is good but the app isn't. Commercials are sneaked into podcasts even for premium users. Audio books are nice, but not enough hours a month to get through a book. And searching for books is impossible as it isn't very clear which books are ""included in premium"" or what language they're in. Update 26/04/26: sleep timer stopped working.",3,9.1.42.2058,Audiobook Issues
"you wake up from a coma to find the book you were listening to with less than 2 hours to go, is ""no longer available I'm your region""",1,,Audiobook Issues
"I've been using Spotify for years and have been using the audiobook to help me read more, but only giving us 15 hours a month of audiobook listening time is ridiculous. I listen to audiobooks at work, as there are books I would love to read but don't have time. Even if I pay an extra £9 a month I still don't even have enough hours to last the week. It would cost me £50 extra to fill the silence in work. Also not helpfully when you use it as a dyslexic and can't actually do anything.",2,9.1.56.574,Audiobook Issues
Raising the price on the family plan but not all audio books available for the full family. Only the membership holder gets the full audio book library.,2,9.1.62.1601,Audiobook Issues
They just went up on price again. I switched to Amazon music bc of that. plus now I get unlimited listening time for audiobooks instead of 15 hours.,1,9.1.44.2120,Audiobook Issues
"very much dislike the limited audio book feature. we already pay so much for premium we shouldn't have yo pay MORE to listen to a damn book. also, the app contantly says I am ""offiline"" while connected to WIFI. this has been an issue for months.",3,,Audiobook Issues
"Stop pushing on the audiobooks, I listen to them elsewhere. At least provide an option to default to ""Music"" tab, or any other tab of user's choice.",2,9.1.44.2120,Audiobook Issues
Audio books extremely limited in play time and no option to purchase -- but you can pay $1.30/hr to finish your book. I'll cancel my subscription at the end of the current billing period due to that limitation because I'm not willing to spend 6 months waiting in between billing cycles to finish my current book. Good music selection and lots of podcasts.,3,9.1.52.1394,Audiobook Issues
I shouldn't have to top up for reading hours if im already paying a subscription,1,9.1.50.1906,Audiobook Issues
Trying to make me pay an extra subscription to listen to extra audio books made me cancel my subscription. The nerve.,1,9.1.60.1970,Audiobook Issues
"Great service but your forced to pay for audiobook that you don't want, it's not worth it, where is the Price point for just music with no commercials?",1,9.1.52.1394,Audiobook Issues
half the audio books dont work. or they work you enough to invest and then start missing the last 2-5 mins of chapter. pathetic.,1,9.1.56.574,Audiobook Issues
"Worse and worse with every update. the new audiobook feature would be great, but it glitches constantly. I started this current book with plenty of listening time to finish, but it jumps back a chapter (just now this happened 8+ times in minutes, restarting from the previous chapter in the middle of the next one and not letting me skip ahead to where I left off) until I suddenly didn't have enough listening time to finish the book, leaving me 16 minutes short.",2,9.1.26.2279,Audiobook Issues
